Complexity,Loss,Equation
1,0.57328993,"x0"
2,0.20487061,"sqrt(48.457573)"
3,0.14380573,"288.32867 / x1"
5,0.12975314,"203.74774 / (x1 - 12.791752)"
6,0.12946483,"(418.81436 / x1) - exp(1.0803782)"
7,0.0699546,"-0.71163744 + (203.74774 / (x1 - x0))"
8,0.008831186,"-1.8166155 + (exp(5.3899217) / (x1 - x0))"
10,0.008031253,"-1.8685997 + (exp(5.412671) / ((x1 - x0) - -0.25279152))"
11,0.0067557935,"-1.8685997 + ((exp(5.412671) - log(x0)) / (x1 - x0))"
13,0.0066619734,"-1.8685997 + ((exp(5.412671) - sqrt(x0 * 0.6532816)) / (x1 - x0))"
15,0.00489359,"-1.8674994 + ((exp(5.415398) + ((exp(-1.9128275) * x0) / -0.71163744)) / (x1 - x0))"
16,0.0038946373,"(((-0.67272 - (-113.147125 * exp(0.7186392))) - (x0 / 2.1000335)) / (x1 - x0)) - 1.9535326"
17,0.0028842904,"((exp(1.0225025) - (sqrt(8.248441) * -73.56771)) / (x1 - x0)) - sqrt(exp(0.021138372) ^ x1)"
18,0.002837938,"((sqrt(sqrt(x1)) - (-73.56771 * sqrt(8.248441))) / (x1 - x0)) - sqrt(exp(0.021138372) ^ x1)"
20,0.0027237243,"(((0.4570574 - (-73.56771 * sqrt(8.248441))) - -1.2335438) / (x1 - x0)) - sqrt((exp(0.021138372) ^ x1) - 0.13854201)"
